student_id,weekly_self_study_hours,attendance_percentage,class_participation,total_score,grade
1,18.5,95.6,3.8,97.9,4
2,14.0,80.0,2.5,83.9,3
3,19.5,86.3,5.3,100.0,4
4,25.7,70.2,7.0,100.0,4
5,13.4,81.9,6.9,92.0,4
6,13.4,65.1,5.0,97.5,4
7,26.1,81.8,5.9,100.0,4
8,20.4,100.0,4.0,96.1,4
9,11.7,100.0,8.2,69.8,2
10,18.8,67.6,6.0,80.3,3
11,11.8,82.3,4.6,66.4,2
12,11.7,75.9,7.6,72.5,3
13,16.7,77.9,2.5,95.2,4
14,1.6,92.1,5.7,60.9,2
15,2.9,90.7,5.4,52.1,1
16,11.1,87.4,3.9,73.5,3
17,7.9,85.9,7.7,63.0,2
18,17.2,74.0,8.1,100.0,4
19,8.6,100.0,9.0,75.4,3
20,5.1,91.4,4.5,57.9,2
21,25.3,89.3,6.4,100.0,4
22,13.4,93.5,9.4,79.0,3
23,15.5,100.0,8.5,76.3,3
24,5.0,74.2,5.0,58.7,2
25,11.2,96.1,4.9,68.3,2
26,15.8,81.1,5.0,97.2,4
27,6.9,73.6,6.1,68.4,2
28,17.6,83.9,8.9,100.0,4
29,10.8,86.2,3.4,63.6,2
30,13.0,75.0,5.7,89.2,4
31,10.8,76.6,5.0,77.4,3
32,28.0,89.2,6.5,100.0,4
33,14.9,68.4,7.2,82.6,3
34,7.6,93.0,6.2,71.9,3
35,20.8,85.2,7.7,97.4,4
36,6.5,86.4,8.2,61.6,2
37,16.5,86.8,4.6,99.5,4
38,1.3,92.9,8.6,50.1,1
39,5.7,93.4,8.3,56.7,2
40,16.4,76.5,2.6,84.0,3
41,20.2,85.6,5.6,100.0,4
42,16.2,84.2,7.0,100.0,4
43,14.2,76.5,6.1,63.6,2
44,12.9,78.7,3.7,100.0,4
45,4.7,100.0,3.3,55.9,2
46,10.0,83.4,7.3,89.6,4
47,11.8,89.5,3.3,78.7,3
48,22.4,85.9,5.8,90.3,4
49,17.4,79.9,7.6,71.0,3
50,2.7,77.5,6.4,51.1,1
51,17.3,93.8,8.8,82.7,3
52,12.3,84.6,6.8,91.0,4
53,10.3,90.3,6.0,92.7,4
54,19.3,77.7,8.2,100.0,4
55,22.2,80.2,4.1,100.0,4
56,21.5,84.1,7.7,100.0,4
57,9.1,81.4,5.4,76.9,3
58,12.8,83.7,4.9,91.9,4
59,17.3,99.0,6.9,89.5,4
60,21.8,94.7,6.0,100.0,4
61,11.6,80.9,2.7,71.2,3
62,13.7,89.6,5.5,81.9,3
63,7.3,68.3,6.9,67.1,2
64,6.6,85.3,3.4,69.9,2
65,20.7,85.8,6.8,96.5,4
66,24.5,82.0,8.4,100.0,4
67,14.5,73.7,7.1,80.4,3
68,22.0,85.0,9.7,92.2,4
69,17.5,83.1,8.8,83.6,3
70,10.5,91.8,3.8,78.8,3
71,17.5,82.9,5.2,93.2,4
72,25.8,82.6,7.0,100.0,4
73,14.7,70.6,3.8,84.5,3
74,26.0,88.5,9.0,100.0,4
75,0.0,86.4,6.8,47.4,1
76,20.8,81.6,4.4,97.5,4
77,15.6,90.1,7.7,90.8,4
78,12.9,80.4,6.0,87.7,4
79,15.6,100.0,6.1,91.7,4
80,1.1,81.4,4.3,54.6,1
81,13.5,69.7,5.5,81.0,3
82,17.5,64.4,6.4,79.5,3
83,25.3,85.0,4.3,100.0,4
84,11.4,83.4,8.3,62.3,2
85,9.3,69.7,7.5,64.9,2
86,11.5,84.1,4.5,93.3,4
87,21.4,100.0,4.6,100.0,4
88,17.3,64.7,8.9,98.4,4
89,11.3,80.9,4.2,69.2,2
90,18.6,80.6,4.4,93.9,4
91,15.7,74.6,3.3,100.0,4
92,21.8,92.7,7.9,100.0,4
93,10.1,78.4,4.9,79.7,3
94,12.7,95.9,6.3,86.6,4
95,12.3,70.9,8.5,72.0,3
96,4.8,79.9,4.2,73.6,3
97,17.1,76.7,7.6,67.3,2
98,16.8,95.7,5.3,73.1,3
99,15.0,80.7,6.0,100.0,4
100,13.4,91.1,6.0,63.9,2
101,5.1,62.6,8.3,72.9,3
102,12.1,94.3,2.2,73.4,3
103,12.6,73.3,4.5,68.1,2
104,9.4,72.5,5.4,86.1,4
105,13.9,91.9,9.5,83.0,3
106,17.8,74.7,4.6,77.7,3
107,28.2,97.9,6.3,100.0,4
108,16.2,100.0,5.0,93.6,4
109,16.8,81.5,4.9,100.0,4
110,14.5,82.3,3.9,100.0,4
111,1.6,97.0,5.3,43.5,1
112,14.8,75.1,5.5,93.8,4
113,15.4,96.3,5.7,78.9,3
114,32.2,84.4,4.9,100.0,4
115,13.7,93.3,5.3,84.2,3
116,17.1,77.8,9.3,100.0,4
117,14.8,97.8,5.0,100.0,4
118,6.8,70.7,6.4,73.2,3
119,23.0,99.6,7.8,100.0,4
120,20.3,96.1,7.7,95.4,4
121,20.5,79.3,8.2,92.1,4
122,8.6,88.4,6.7,76.7,3
123,24.8,80.0,6.6,100.0,4
124,5.2,87.7,6.9,74.1,3
125,19.1,79.9,3.6,74.2,3
126,30.3,75.7,1.1,100.0,4
127,8.1,88.9,4.5,74.0,3
128,11.0,87.0,5.5,72.6,3
129,15.7,84.9,6.5,74.8,3
130,11.5,83.8,3.1,54.7,1
131,4.1,92.4,2.5,50.6,1
132,15.5,80.1,6.5,86.8,4
133,7.6,77.9,4.6,92.6,4
134,18.3,97.3,7.5,97.3,4
135,8.6,80.4,6.1,70.6,3
136,25.8,77.7,6.9,100.0,4
137,9.5,79.3,3.6,81.9,3
