dataset,threads,iteration,time_seconds,accuracy
/home/users/wfrank/AraucariaRF-OpenMP/data/processed/company_bankruptcy.csv,1,1,128.3119,0.9668
/home/users/wfrank/AraucariaRF-OpenMP/data/processed/company_bankruptcy.csv,1,1,135.9956,0.9646
/home/users/wfrank/AraucariaRF-OpenMP/data/processed/company_bankruptcy.csv,1,1,136.1919,0.9431
/home/users/wfrank/AraucariaRF-OpenMP/data/processed/company_bankruptcy.csv,2,1,59.8289,0.9677
/home/users/wfrank/AraucariaRF-OpenMP/data/processed/company_bankruptcy.csv,2,1,73.6941,0.9675
/home/users/wfrank/AraucariaRF-OpenMP/data/processed/company_bankruptcy.csv,2,1,67.9755,0.9675
/home/users/wfrank/AraucariaRF-OpenMP/data/processed/company_bankruptcy.csv,4,1,36.2721,0.9670
/home/users/wfrank/AraucariaRF-OpenMP/data/processed/company_bankruptcy.csv,4,1,37.2407,0.9658
/home/users/wfrank/AraucariaRF-OpenMP/data/processed/company_bankruptcy.csv,4,1,37.5308,0.9570
/home/users/wfrank/AraucariaRF-OpenMP/data/processed/company_bankruptcy.csv,8,1,19.9569,0.9675
/home/users/wfrank/AraucariaRF-OpenMP/data/processed/company_bankruptcy.csv,8,1,20.3159,0.9704
/home/users/wfrank/AraucariaRF-OpenMP/data/processed/company_bankruptcy.csv,8,1,17.1527,0.9653
/home/users/wfrank/AraucariaRF-OpenMP/data/processed/company_bankruptcy.csv,12,1,12.7958,0.9726
/home/users/wfrank/AraucariaRF-OpenMP/data/processed/company_bankruptcy.csv,12,1,13.5760,0.9670
/home/users/wfrank/AraucariaRF-OpenMP/data/processed/company_bankruptcy.csv,12,1,10.9208,0.9673
/home/users/wfrank/AraucariaRF-OpenMP/data/processed/company_bankruptcy.csv,16,1,10.8485,0.9668
/home/users/wfrank/AraucariaRF-OpenMP/data/processed/company_bankruptcy.csv,16,1,10.4515,0.9631
/home/users/wfrank/AraucariaRF-OpenMP/data/processed/company_bankruptcy.csv,16,1,11.6306,0.9609
/home/users/wfrank/AraucariaRF-OpenMP/data/processed/company_bankruptcy.csv,20,1,8.9329,0.9699
/home/users/wfrank/AraucariaRF-OpenMP/data/processed/company_bankruptcy.csv,20,1,8.9675,0.9687
/home/users/wfrank/AraucariaRF-OpenMP/data/processed/company_bankruptcy.csv,20,1,9.0166,0.9658
/home/users/wfrank/AraucariaRF-OpenMP/data/processed/company_bankruptcy.csv,24,1,8.1489,0.9658
/home/users/wfrank/AraucariaRF-OpenMP/data/processed/company_bankruptcy.csv,24,1,9.1031,0.9697
/home/users/wfrank/AraucariaRF-OpenMP/data/processed/company_bankruptcy.csv,24,1,11.0119,0.9704
