dataset,threads,iteration,time_seconds,accuracy
/home/users/wfrank/AraucariaRF-OpenMP/data/processed/creditcard_small.csv,1,1,70.7318,0.9996
/home/users/wfrank/AraucariaRF-OpenMP/data/processed/creditcard_small.csv,1,1,52.5685,0.9992
/home/users/wfrank/AraucariaRF-OpenMP/data/processed/creditcard_small.csv,1,1,46.9907,0.9988
/home/users/wfrank/AraucariaRF-OpenMP/data/processed/creditcard_small.csv,2,1,27.2352,0.9992
/home/users/wfrank/AraucariaRF-OpenMP/data/processed/creditcard_small.csv,2,1,40.5815,0.9998
/home/users/wfrank/AraucariaRF-OpenMP/data/processed/creditcard_small.csv,2,1,24.8927,0.9988
/home/users/wfrank/AraucariaRF-OpenMP/data/processed/creditcard_small.csv,4,1,18.0739,0.9996
/home/users/wfrank/AraucariaRF-OpenMP/data/processed/creditcard_small.csv,4,1,11.1582,0.9988
/home/users/wfrank/AraucariaRF-OpenMP/data/processed/creditcard_small.csv,4,1,15.5125,0.9979
/home/users/wfrank/AraucariaRF-OpenMP/data/processed/creditcard_small.csv,8,1,9.0474,0.9994
/home/users/wfrank/AraucariaRF-OpenMP/data/processed/creditcard_small.csv,8,1,8.3567,0.9990
/home/users/wfrank/AraucariaRF-OpenMP/data/processed/creditcard_small.csv,8,1,7.2611,0.9990
/home/users/wfrank/AraucariaRF-OpenMP/data/processed/creditcard_small.csv,12,1,7.2641,0.9992
/home/users/wfrank/AraucariaRF-OpenMP/data/processed/creditcard_small.csv,12,1,5.5641,0.9992
/home/users/wfrank/AraucariaRF-OpenMP/data/processed/creditcard_small.csv,12,1,6.2040,0.9994
/home/users/wfrank/AraucariaRF-OpenMP/data/processed/creditcard_small.csv,16,1,4.9805,0.9994
/home/users/wfrank/AraucariaRF-OpenMP/data/processed/creditcard_small.csv,16,1,6.4663,0.9998
/home/users/wfrank/AraucariaRF-OpenMP/data/processed/creditcard_small.csv,16,1,5.0549,0.9992
/home/users/wfrank/AraucariaRF-OpenMP/data/processed/creditcard_small.csv,20,1,3.2313,0.9992
/home/users/wfrank/AraucariaRF-OpenMP/data/processed/creditcard_small.csv,20,1,2.4434,0.9983
/home/users/wfrank/AraucariaRF-OpenMP/data/processed/creditcard_small.csv,20,1,4.4642,0.9994
/home/users/wfrank/AraucariaRF-OpenMP/data/processed/creditcard_small.csv,24,1,3.6254,0.9992
/home/users/wfrank/AraucariaRF-OpenMP/data/processed/creditcard_small.csv,24,1,4.3925,0.9994
/home/users/wfrank/AraucariaRF-OpenMP/data/processed/creditcard_small.csv,24,1,4.5580,0.9992
