dataset,threads,iteration,time_seconds,accuracy
/home/users/wfrank/AraucariaRF-OpenMP/data/processed/student_performance_small.csv,1,1,103.7998,0.8094
/home/users/wfrank/AraucariaRF-OpenMP/data/processed/student_performance_small.csv,1,1,102.9004,0.8066
/home/users/wfrank/AraucariaRF-OpenMP/data/processed/student_performance_small.csv,1,1,88.7076,0.8017
/home/users/wfrank/AraucariaRF-OpenMP/data/processed/student_performance_small.csv,2,1,52.3086,0.7592
/home/users/wfrank/AraucariaRF-OpenMP/data/processed/student_performance_small.csv,2,1,60.9217,0.8028
/home/users/wfrank/AraucariaRF-OpenMP/data/processed/student_performance_small.csv,2,1,63.2563,0.8052
/home/users/wfrank/AraucariaRF-OpenMP/data/processed/student_performance_small.csv,4,1,35.7074,0.7919
/home/users/wfrank/AraucariaRF-OpenMP/data/processed/student_performance_small.csv,4,1,37.5840,0.8099
/home/users/wfrank/AraucariaRF-OpenMP/data/processed/student_performance_small.csv,4,1,40.5637,0.7425
/home/users/wfrank/AraucariaRF-OpenMP/data/processed/student_performance_small.csv,8,1,20.7838,0.7511
/home/users/wfrank/AraucariaRF-OpenMP/data/processed/student_performance_small.csv,8,1,31.4381,0.8037
/home/users/wfrank/AraucariaRF-OpenMP/data/processed/student_performance_small.csv,8,1,22.4506,0.7865
/home/users/wfrank/AraucariaRF-OpenMP/data/processed/student_performance_small.csv,12,1,26.6693,0.8036
/home/users/wfrank/AraucariaRF-OpenMP/data/processed/student_performance_small.csv,12,1,16.9017,0.8104
/home/users/wfrank/AraucariaRF-OpenMP/data/processed/student_performance_small.csv,12,1,16.4659,0.8063
/home/users/wfrank/AraucariaRF-OpenMP/data/processed/student_performance_small.csv,16,1,15.5778,0.7997
/home/users/wfrank/AraucariaRF-OpenMP/data/processed/student_performance_small.csv,16,1,12.5283,0.7992
/home/users/wfrank/AraucariaRF-OpenMP/data/processed/student_performance_small.csv,16,1,15.4477,0.7880
/home/users/wfrank/AraucariaRF-OpenMP/data/processed/student_performance_small.csv,20,1,11.7527,0.8106
/home/users/wfrank/AraucariaRF-OpenMP/data/processed/student_performance_small.csv,20,1,12.8524,0.7557
/home/users/wfrank/AraucariaRF-OpenMP/data/processed/student_performance_small.csv,20,1,13.1438,0.7864
/home/users/wfrank/AraucariaRF-OpenMP/data/processed/student_performance_small.csv,24,1,14.8155,0.8016
/home/users/wfrank/AraucariaRF-OpenMP/data/processed/student_performance_small.csv,24,1,11.3797,0.8058
/home/users/wfrank/AraucariaRF-OpenMP/data/processed/student_performance_small.csv,24,1,12.8221,0.8034
